id,img,x1,y1,x2,y2
100,00020ebf74c4881c.jpg,294,283,596,547
101,00020ebf74c4881c.jpg,311,207,495,416
102,00020ebf74c4881c.jpg,553,322,906,609
103,00020ebf74c4881c.jpg,799,310,1002,496
104,00026fcce1ecc052.jpg,298,79,382,112
105,00026fcce1ecc052.jpg,101,135,185,204
106,00026fcce1ecc052.jpg,447,274,580,325
107,00026fcce1ecc052.jpg,18,74,138,146
108,00026fcce1ecc052.jpg,492,97,592,161
109,0002ae08a264b451.jpg,300,155,796,524
110,0002ae08a264b451.jpg,302,157,800,522
111,0002ae08a264b451.jpg,295,157,801,522
112,0002f5b84a708bd3.jpg,1,33,765,763
113,0002f5f227b0c2dc.jpg,278,612,303,641
114,0002f5f227b0c2dc.jpg,209,701,236,748
115,0002f5f227b0c2dc.jpg,177,602,203,625
116,0002f5f227b0c2dc.jpg,253,618,278,650
117,0002f5f227b0c2dc.jpg,31,695,70,730
118,0002f5f227b0c2dc.jpg,183,645,220,669
119,0002f5f227b0c2dc.jpg,122,586,157,607
120,0002f5f227b0c2dc.jpg,147,600,167,632
121,0002f5f227b0c2dc.jpg,136,678,174,718
122,0002f921515d14e8.jpg,52,36,856,601
123,0002f921515d14e8.jpg,64,28,872,582
124,00030b70a3abfcea.jpg,780,57,1021,190
125,00030b70a3abfcea.jpg,757,0,1023,500
126,00030b70a3abfcea.jpg,61,362,412,675
127,00030b70a3abfcea.jpg,175,154,483,433
128,00030b70a3abfcea.jpg,54,159,480,677
129,00030b70a3abfcea.jpg,108,361,255,490
130,00030b70a3abfcea.jpg,228,170,382,281
131,000323390354c939.jpg,141,186,883,638
132,000323390354c939.jpg,148,184,882,637
133,000333bbb9b7ae4c.jpg,160,0,798,657
134,000333bbb9b7ae4c.jpg,147,0,804,670
135,000333bbb9b7ae4c.jpg,602,0,906,120
136,00037418480b82d5.jpg,807,305,864,493
137,00037418480b82d5.jpg,483,593,541,661
138,00037418480b82d5.jpg,468,527,555,694
139,00037418480b82d5.jpg,468,527,555,694
140,0003d7be45f109cb.jpg,0,184,383,391
141,0003d7be45f109cb.jpg,0,187,388,406
142,0003f807c0f5720f.jpg,701,638,756,682
143,0004009be735ce46.jpg,540,434,585,467
144,0004009be735ce46.jpg,64,542,101,582
145,0004009be735ce46.jpg,391,439,430,475
146,00040e128ea49b66.jpg,0,25,718,963
147,00040e128ea49b66.jpg,0,28,667,742
148,000421a4ed497ea4.jpg,255,187,739,557
149,000421a4ed497ea4.jpg,4,597,158,679
150,0004238e4b8d0d33.jpg,207,86,413,246
151,0004238e4b8d0d33.jpg,298,573,581,767
152,0004238e4b8d0d33.jpg,0,549,154,767
153,0004413fb7511d7c.jpg,140,365,820,763
154,00045e4a23d19cff.jpg,278,3,661,699
155,000467588f9797fc.jpg,357,616,387,651
156,000467588f9797fc.jpg,150,661,182,687
157,000467588f9797fc.jpg,236,616,264,635
158,000467588f9797fc.jpg,191,663,252,743
159,000467588f9797fc.jpg,174,620,200,641
160,000467588f9797fc.jpg,123,645,152,666
161,000467588f9797fc.jpg,307,604,357,672
162,000467588f9797fc.jpg,275,602,326,695
163,000467588f9797fc.jpg,234,626,294,724
164,0004b1e36d81b877.jpg,697,346,722,388
165,0004b1e36d81b877.jpg,250,480,281,487
166,0004b74a5f5998ce.jpg,302,579,339,626
167,0004b74a5f5998ce.jpg,687,603,717,641
168,0004b74a5f5998ce.jpg,671,409,944,500
169,0004b74a5f5998ce.jpg,653,577,675,600
170,0004b74a5f5998ce.jpg,225,668,404,831
171,0004b74a5f5998ce.jpg,381,274,486,337
172,0004b74a5f5998ce.jpg,564,321,732,400
173,0004b74a5f5998ce.jpg,307,514,328,531
174,0004b74a5f5998ce.jpg,362,273,493,500
175,0004b74a5f5998ce.jpg,257,641,281,657
176,0004b74a5f5998ce.jpg,409,673,548,839
177,0004b74a5f5998ce.jpg,503,655,685,741
178,0004b74a5f5998ce.jpg,276,573,302,593
179,0004b74a5f5998ce.jpg,648,488,824,577
180,0004b74a5f5998ce.jpg,550,290,669,353
181,0004b74a5f5998ce.jpg,292,647,314,671
182,0004b74a5f5998ce.jpg,572,561,666,652
183,0004b74a5f5998ce.jpg,78,461,230,678
184,0004be5f2f0f1c66.jpg,518,366,632,429
185,0004be5f2f0f1c66.jpg,574,299,693,353
186,0004be5f2f0f1c66.jpg,511,355,665,417
187,0004c6db7a801c3f.jpg,224,603,358,767
188,0004e0650dd10f47.jpg,767,564,784,584
189,0004e0650dd10f47.jpg,160,266,183,304
190,0004e0650dd10f47.jpg,722,569,754,599
191,0004e0650dd10f47.jpg,619,249,664,275
192,0004e0650dd10f47.jpg,668,661,698,666
193,0004e0650dd10f47.jpg,956,548,969,574
194,0004e0650dd10f47.jpg,595,312,638,337
195,0004e0650dd10f47.jpg,609,634,628,666
196,0004e0650dd10f47.jpg,776,615,792,630
